URL;HTTP;RobotsBlocked;MetaNoindex;Canonical;HasVideoIframe;VideoHasError;VideoErrorText;Result
https://automoto.com.lv/ru/obzory-avto/acura/integra/2023/74.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/integra/2023/74.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/integra/2024/287.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/integra/2024/287.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/integra/2025/317.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/integra/2025/317.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/mdx/2023/110.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/mdx/2023/110.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/mdx/2024/208.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/mdx/2024/208.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/mdx/2025/326.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/mdx/2025/326.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/rdx/2023/95.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/rdx/2023/95.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/rdx/2024/247.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/rdx/2024/247.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/rdx/2025/362.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/rdx/2025/362.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/tlx/2023/173.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/tlx/2023/173.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/acura/tlx/2024/296.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/acura/tlx/2024/296.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/alfa-romeo/giulia/2023/174.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/alfa-romeo/giulia/2023/174.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/alfa-romeo/giulia/2025/356.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/alfa-romeo/giulia/2025/356.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/alfa-romeo/tonale/2024/209.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/alfa-romeo/tonale/2024/209.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/audi/a3/2023/85.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/audi/a3/2023/85.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/audi/a3/2024/205.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/audi/a3/2024/205.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/audi/a4/2023/93.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/audi/a4/2023/93.html;True;False;;PASS
https://automoto.com.lv/ru/obzory-avto/audi/a4/2024/212.html;200;False;False;https://automoto.com.lv/ru/obzory-avto/audi/a4/2024/212.html;True;False;;PASS
